rep,k,n_lambda,mu,sigma,min_size,filename,maxima,maxvals,loc,scale,shape,gev_max
5,20,30,20,6.8,10,rep5_k20_lambda30_mu20,,,32.77724658964007,2.5690988524924516,-0.185733308852731,39.30025296317462
5,100,200,20,6.8,10,rep5_k100_lambda200_mu20,,,37.96240802291046,2.4526244939173742,-0.11591133911058653,47.40084328459045
6,20,200,20,6.8,10,rep6_k20_lambda200_mu20,,,38.421605576328155,2.976416567347532,-0.4583344940096774,43.45811032917662
6,100,10000,20,6.8,10,rep6_k100_lambda10000_mu20,,,45.45044537620355,1.88301811097623,-0.09525121567398169,53.07456772776278
7,20,10000,20,6.8,10,rep7_k20_lambda10000_mu20,,,45.25045826868711,1.342643516968681,-0.13798273319429274,48.94693024672638
8,5,10000,20,6.8,10,rep8_k5_lambda10000_mu20,,,45.5054631895655,0.5375664263580481,0.8542793130529709,60.22804115885013
8,30,2000,20,6.8,10,rep8_k30_lambda2000_mu20,,,42.67338524796131,1.5930583347064091,0.1696147390728461,52.21481513939304
9,20,30,20,6.8,10,rep9_k20_lambda30_mu20,,,32.05611164827642,3.0867532460068356,-0.05440462053519774,41.96207920430847
9,100,200,20,6.8,10,rep9_k100_lambda200_mu20,,,37.52352242138304,2.646698794875527,-0.1103994141291395,47.83381244291731
10,20,30,20,6.8,10,rep10_k20_lambda30_mu20,,,32.15396430547544,2.9157265718227365,-0.40543888101795755,37.45340589505125
10,100,200,20,6.8,10,rep10_k100_lambda200_mu20,,,37.79002164489122,2.6284040739475545,-0.20304547343960894,46.079817423788406
1,20,30,50,17,10,rep1_k20_lambda30_mu50,,,84.62603896409294,6.299822262982941,-0.638238515830382,93.18866988922204
1,100,200,50,17,10,rep1_k100_lambda200_mu50,,,93.62999739159065,5.128387177596616,-0.05926555733833618,116.31935626577891
2,20,200,50,17,10,rep2_k20_lambda200_mu50,,,91.25300344542558,6.990001626591429,0.038409727285212365,118.35535171456688
2,100,10000,50,17,10,rep2_k100_lambda10000_mu50,,,113.44613829989278,5.0107118979850185,-0.044107687431833374,136.52475529073982
3,20,30,50,17,10,rep3_k20_lambda30_mu50,,,85.92117784211486,9.732824135225904,0.00808383772886721,121.28294309835485
3,100,200,50,17,10,rep3_k100_lambda200_mu50,,,93.86358493166426,6.134113025332718,-0.06552605364076144,120.58851382786571
4,10,2000,50,17,10,rep4_k10_lambda2000_mu50,,,107.09795510257071,4.476238526605489,-0.1960230040552454,116.55948558669134
4,100,30,50,17,10,rep4_k100_lambda30_mu50,,,80.00155003524735,8.412693244862687,-0.14364410178399892,110.31097683506285
5,10,2000,50,17,10,rep5_k10_lambda2000_mu50,,,107.73699185996836,4.464214397700502,-0.15025911039454445,117.84374179362335
5,100,30,50,17,10,rep5_k100_lambda30_mu50,,,80.20687822971382,8.71101647076171,-0.16947812775084378,109.75425996082438
6,20,30,50,17,10,rep6_k20_lambda30_mu50,,,79.01262893744472,5.090660949981889,0.033950944323938234,98.52561955846731
6,100,200,50,17,10,rep6_k100_lambda200_mu50,,,93.29249863239284,5.875372568241626,-0.05491524780961438,119.63360152637553
7,20,30,50,17,10,rep7_k20_lambda30_mu50,,,80.1968832196951,3.568222781329063,0.0033781202189429775,93.04895133001759
7,100,200,50,17,10,rep7_k100_lambda200_mu50,,,93.72038316268616,6.07267598620868,-0.1288890383373017,116.37513623422811
8,20,200,50,17,10,rep8_k20_lambda200_mu50,,,94.93167333949594,5.676649020230867,0.17416956820054338,124.71744596376519
8,100,10000,50,17,10,rep8_k100_lambda10000_mu50,,,113.98339294166453,4.069794158262389,-0.07126254753653381,131.45806719200752
9,20,200,50,17,10,rep9_k20_lambda200_mu50,,,95.35127696814423,5.018370422247172,-0.05942073377376934,111.3280803844213
9,100,10000,50,17,10,rep9_k100_lambda10000_mu50,,,114.05308603093677,4.361001583181023,0.0013575664833610577,136.72816206178013
10,20,200,50,17,10,rep10_k20_lambda200_mu50,,,95.93072870899134,5.893872659496895,-0.41715538844617717,106.47614500754254
10,100,10000,50,17,10,rep10_k100_lambda10000_mu50,,,113.36840303907007,3.696201040429608,0.0028387283939793296,132.6815586668436
1,20,200,100,34,10,rep1_k20_lambda200_mu100,,,187.17550232377425,12.935826778899276,-0.005825542685105196,232.88453647089707
1,100,10000,100,34,10,rep1_k100_lambda10000_mu100,,,224.97166097276045,8.597923110506857,-0.08106201446212936,260.9967342819056
2,20,200,100,34,10,rep2_k20_lambda200_mu100,,,186.66109346231798,9.511818670143294,-0.02063688453679107,219.2812125360493
2,100,10000,100,34,10,rep2_k100_lambda10000_mu100,,,224.9616261452338,8.664270030821912,-0.06757256072554081,262.53169258730077
3,30,50,100,34,10,rep3_k30_lambda50_mu100,,,167.65496215739515,15.04394212616358,-0.3534475321920987,198.8336710953241
4,10,50,100,34,10,rep4_k10_lambda50_mu100,,,169.46257671268293,12.017687965768742,0.12383334464490797,212.87526996372873
4,30,2000,100,34,10,rep4_k30_lambda2000_mu100,,,209.31372605528642,8.275799758780408,0.051191482140107145,246.20390648716366
5,10,50,100,34,10,rep5_k10_lambda50_mu100,,,173.13749271595097,19.19651664518327,-0.1492451233405552,216.62606089345985
5,30,2000,100,34,10,rep5_k30_lambda2000_mu100,,,214.16301559626064,7.888179059578419,-0.06619563072090967,241.43709879636071
6,10,2000,100,34,10,rep6_k10_lambda2000_mu100,,,212.69801934547394,5.379771994995693,0.786492398435062,386.6780672950849
6,100,30,100,34,10,rep6_k100_lambda30_mu100,,,161.72891387758042,15.349333519474499,-0.1412221281872842,217.35584316574923
7,10,50,100,34,10,rep7_k10_lambda50_mu100,,,166.09394843931108,8.397839376819668,0.2753245387176976,207.92534000293725
7,30,2000,100,34,10,rep7_k30_lambda2000_mu100,,,215.0417112966856,8.239961649661923,-0.2778864035539259,234.29858352706873
8,10,50,100,34,10,rep8_k10_lambda50_mu100,,,176.46144414406496,10.319486084771118,0.3169835762586853,233.51527347228313
8,30,2000,100,34,10,rep8_k30_lambda2000_mu100,,,211.45338387709725,8.99210277965955,0.01725174804418503,248.62175274294427
9,5,10000,100,34,10,rep9_k5_lambda10000_mu100,,,230.33728432402046,6.668847810991755,-0.4906556754149211,238.46130703678614
9,30,50,100,34,10,rep9_k30_lambda50_mu100,,,169.50871433583455,11.21820221926303,0.1644036293201713,235.58697978828013
10,10,2000,100,34,10,rep10_k10_lambda2000_mu100,,,212.22589920306422,8.048919192529757,0.03341411745663958,236.76780266743114
10,100,30,100,34,10,rep10_k100_lambda30_mu100,,,161.97419776732258,14.74760116602342,-0.23903064069853275,205.01012313667584
1,10,30,20,6.8,10,rep1_k10_lambda30_mu20,,,31.517004650303655,0.9538836460858221,0.5240437762670529,41.12174940590603
1,30,200,20,6.8,10,rep1_k30_lambda200_mu20,,,38.141856225430196,2.660093939034614,-0.22537284691976703,44.94108366963756
2,10,10000,20,6.8,10,rep2_k10_lambda10000_mu20,,,44.49854681268582,0.6401603363294027,0.09570637065934702,46.69930746002359
2,100,50,20,6.8,10,rep2_k100_lambda50_mu20,,,34.39499001648678,3.018254260882235,-0.14699589170832664,45.18537933494428
3,10,10000,20,6.8,10,rep3_k10_lambda10000_mu20,,,44.47359731072788,1.2345840407412432,0.16190669969343685,49.30061041391683
3,100,50,20,6.8,10,rep3_k100_lambda50_mu20,,,34.63739736643773,2.2930711556351553,-0.05434904969539223,44.92813085040878
4,30,30,20,6.8,10,rep4_k30_lambda30_mu20,,,32.981520472470514,2.9185355072605805,-0.46460405440485414,38.121331879667125
5,10,200,20,6.8,10,rep5_k10_lambda200_mu20,,,37.28480261206625,2.03942846163194,0.015984310814123236,43.336368242442866
5,100,50,20,6.8,10,rep5_k100_lambda50_mu20,,,34.07055975903147,2.5842574278523824,-0.041798227141003584,46.03394874216735
6,10,10000,20,6.8,10,rep6_k10_lambda10000_mu20,,,45.453672649053104,1.3049375872580853,0.5011814898674781,57.7332796988825
6,100,50,20,6.8,10,rep6_k100_lambda50_mu20,,,34.77068691215557,2.997211916324292,-0.11819347961780798,46.228350695827395
7,10,10000,20,6.8,10,rep7_k10_lambda10000_mu20,,,45.91632496953906,2.732991158475543,-0.9845693842762191,48.405826263506896
7,100,50,20,6.8,10,rep7_k100_lambda50_mu20,,,34.107378029243165,2.874170546326678,-0.04873632166385992,47.17574131422021
8,20,2000,20,6.8,10,rep8_k20_lambda2000_mu20,,,42.6427852580364,2.2554739970993722,-0.08306688557701991,49.50292495251076
9,5,50,20,6.8,10,rep9_k5_lambda50_mu20,,,32.21905024698172,3.1602250407079118,0.14066960726824052,40.891755712713454
9,30,30,20,6.8,10,rep9_k30_lambda30_mu20,,,31.661513880810062,3.3039464182079206,-0.10777659116744115,42.1569107682336
10,10,30,20,6.8,10,rep10_k10_lambda30_mu20,,,33.37844887793244,4.5094964422291195,-0.35772163997215495,41.066853232136886
10,30,200,20,6.8,10,rep10_k30_lambda200_mu20,,,37.505310038526595,1.9937635829954705,-0.1584484940891375,43.264740919708665
1,10,30,50,17,10,rep1_k10_lambda30_mu50,,,80.56856662499305,3.5905445757882952,0.7069324475568234,152.97985569861945
1,30,200,50,17,10,rep1_k30_lambda200_mu50,,,94.43592619475238,5.0966763007982765,0.059460481340128685,117.63372805651102
2,10,200,50,17,10,rep2_k10_lambda200_mu50,,,90.4461485676693,2.764263798466477,0.039962095907326176,98.99787358833217
2,30,10000,50,17,10,rep2_k30_lambda10000_mu50,,,113.14860128956553,3.9610514666203422,-0.10764435738050487,125.75626191702122
3,20,50,50,17,10,rep3_k20_lambda50_mu50,,,85.15929405342492,6.8592879484675136,-0.23837408540204041,101.12462892500965
3,100,2000,50,17,10,rep3_k100_lambda2000_mu50,,,106.257844393836,4.376175821606684,-0.11323068264709704,123.18479080956425
4,20,50,50,17,10,rep4_k20_lambda50_mu50,,,85.07275601593139,7.090460425949902,-0.26064562217069726,101.01543562124034
4,100,2000,50,17,10,rep4_k100_lambda2000_mu50,,,105.23097784643727,4.522583460417476,0.09526423184854577,136.1173347481621
5,30,30,50,17,10,rep5_k30_lambda30_mu50,,,81.45545067012273,7.508493913931115,-0.07060356718854885,107.18228680232174
6,10,200,50,17,10,rep6_k10_lambda200_mu50,,,91.16712513169395,4.400610951004337,-0.47195462238444424,97.70955163533455
6,30,10000,50,17,10,rep6_k30_lambda10000_mu50,,,113.13277352304777,4.374001764170947,0.01576055824316614,131.14914947981416
7,10,10000,50,17,10,rep7_k10_lambda10000_mu50,,,112.42199940699821,5.359282886061577,5.544045670218261e-4,127.8482692690064
7,100,50,50,17,10,rep7_k100_lambda50_mu50,,,85.10350756999298,7.224408541939621,-0.05472125677327314,117.46476895649772
8,20,2000,50,17,10,rep8_k20_lambda2000_mu50,,,106.6980619887164,3.4573118728930092,-0.19825523282210722,115.2970039088901
9,5,50,50,17,10,rep9_k5_lambda50_mu50,,,79.20768698335193,4.776546889327084,-0.03306716070344585,89.16611124194382
9,30,30,50,17,10,rep9_k30_lambda30_mu50,,,81.08013951753125,9.16529740885782,-0.20853193841421303,105.21140640427477
10,10,30,50,17,10,rep10_k10_lambda30_mu50,,,84.46322618078821,4.348219433271673,-0.25687467016883603,92.92410567913723
10,30,200,50,17,10,rep10_k30_lambda200_mu50,,,93.27605419509547,5.137310415229391,-0.14929412129490147,108.33594360958493
1,10,200,100,34,10,rep1_k10_lambda200_mu100,,,180.45359694279705,8.743761227580876,0.6154231628813436,298.92552904848577
1,30,10000,100,34,10,rep1_k30_lambda10000_mu100,,,224.5850048039737,8.847675095710676,-0.024728474807752285,257.9314050544044
2,10,10000,100,34,10,rep2_k10_lambda10000_mu100,,,227.43533214604855,6.874140358719989,-0.17450086773331436,242.42393130938183
2,100,50,100,34,10,rep2_k100_lambda50_mu100,,,166.33179656582433,13.91645597397127,-0.06808020890547802,226.54619085157515
3,20,50,100,34,10,rep3_k20_lambda50_mu100,,,177.42984922017698,17.28236035334554,-0.9647245735819652,194.36350328758982
3,100,2000,100,34,10,rep3_k100_lambda2000_mu100,,,210.8612773640827,9.791647419352747,-0.15797102900096843,244.98466943928204
4,10,10000,100,34,10,rep4_k10_lambda10000_mu100,,,233.36057746092385,6.610562519530311,-0.3402759794958082,244.89038797966677
4,100,50,100,34,10,rep4_k100_lambda50_mu100,,,168.73533226752446,13.921741565461025,-0.03552017974686782,234.3301674751708
5,20,50,100,34,10,rep5_k20_lambda50_mu100,,,165.1895719896951,13.409853435905925,-0.001355932341365567,212.9830885119355
5,100,2000,100,34,10,rep5_k100_lambda2000_mu100,,,211.34381561525885,9.672581279717932,-0.12991984768164883,247.3540228472687
6,20,2000,100,34,10,rep6_k20_lambda2000_mu100,,,212.81959867886772,8.917932192563109,-0.2924942007608586,231.9124370255718
7,3,10000,100,34,10,rep7_k3_lambda10000_mu100,,,235.39898460460188,9.678674968675024,-0.9891118912523156,241.9056999617033
7,20,2000,100,34,10,rep7_k20_lambda2000_mu100,,,217.64503711656988,10.301348098485647,-0.18267003222445616,243.9272527495453
8,5,50,100,34,10,rep8_k5_lambda50_mu100,,,170.22158493142456,3.9328053170267965,0.8512025098045221,266.36989979284283
8,20,2000,100,34,10,rep8_k20_lambda2000_mu100,,,207.64859896281465,7.495405976038799,-0.09034832587302936,230.15870304400013
9,5,50,100,34,10,rep9_k5_lambda50_mu100,,,169.66347921131165,15.243498798241284,-0.4229814348441903,189.5432794129598
9,20,2000,100,34,10,rep9_k20_lambda2000_mu100,,,212.20512889442062,10.464288505887342,-0.00762890646894494,248.99990672036273
10,10,30,100,34,10,rep10_k10_lambda30_mu100,,,168.78630104414546,9.447890793803989,-0.5989124341443044,181.01200754718678
10,30,200,100,34,10,rep10_k30_lambda200_mu100,,,187.01336807825092,12.551876472893353,-0.12132116954178344,225.88809586558864
1,5,10000,20,6.8,10,rep1_k5_lambda10000_mu20,,,46.66467037911446,1.6457801122000444,0.2616930803669045,52.281756581676404
1,30,50,20,6.8,10,rep1_k30_lambda50_mu20,,,34.39096129294834,3.4527706363817474,-0.19412486243819366,43.72398219023597
2,10,50,20,6.8,10,rep2_k10_lambda50_mu20,,,33.63016982104284,1.5752868745406556,-0.04861401592627,37.797508455529425
2,30,2000,20,6.8,10,rep2_k30_lambda2000_mu20,,,43.027763999754384,2.14246077030206,-0.08209657676996607,50.19611854795069
3,20,30,20,6.8,10,rep3_k20_lambda30_mu20,,,33.475843666753924,3.5717307890415615,-0.0570320056844529,44.887869376902444
3,100,200,20,6.8,10,rep3_k100_lambda200_mu20,,,37.45744204508839,2.1219164970715507,-0.06549330248917304,46.708101013507836
4,20,30,20,6.8,10,rep4_k20_lambda30_mu20,,,31.982939043431816,3.092936608293165,-0.06785550007011798,41.67204966436989
4,100,200,20,6.8,10,rep4_k100_lambda200_mu20,,,37.55992952971742,1.9772838538315516,0.003863678939749529,47.917723475120376
5,20,200,20,6.8,10,rep5_k20_lambda200_mu20,,,37.55031607949249,2.0316489015890276,0.282867906986953,51.65476801166869
5,100,10000,20,6.8,10,rep5_k100_lambda10000_mu20,,,45.59364551486074,1.790160443968131,-0.2338119837102407,50.87601585743946
6,20,10000,20,6.8,10,rep6_k20_lambda10000_mu20,,,45.25882845362307,1.0904803783902857,0.31138671532934703,53.4549776008514
7,5,30,20,6.8,10,rep7_k5_lambda30_mu20,,,35.15102223090066,1.5627592237920178,-0.40014731056780967,37.23517764859183
7,30,50,20,6.8,10,rep7_k30_lambda50_mu20,,,34.26832570149342,3.0527822274293226,-0.2658909677505327,41.54148078839963
8,10,50,20,6.8,10,rep8_k10_lambda50_mu20,,,36.01853654519353,2.7507286116564855,-0.37540716947826186,40.60458712712442
8,100,30,20,6.8,10,rep8_k100_lambda30_mu20,,,32.58919495665516,3.183923808421235,-0.09718307978853567,45.39864678546824
9,20,200,20,6.8,10,rep9_k20_lambda200_mu20,,,37.34034845888401,1.9367267159014487,0.5435372427741043,69.24609577530032
9,100,10000,20,6.8,10,rep9_k100_lambda10000_mu20,,,45.396028095703365,1.6533262290211652,0.039376449898850537,54.96668348133304
10,20,200,20,6.8,10,rep10_k20_lambda200_mu20,,,37.00192211997507,2.236226252748664,-0.08477805812722754,43.781831333838404
10,100,10000,20,6.8,10,rep10_k100_lambda10000_mu20,,,45.19848096382117,1.6303564434219122,0.09517699695589812,56.323891051285315
1,20,200,50,17,10,rep1_k20_lambda200_mu50,,,95.069655075248,5.890875859857675,-0.13160847310207757,111.47394581420025
1,100,10000,50,17,10,rep1_k100_lambda10000_mu50,,,112.3906272985644,4.382037563160081,-0.03581937859987774,133.01923963900245
2,20,10000,50,17,10,rep2_k20_lambda10000_mu50,,,112.75136621808709,4.172504669777226,-0.14137310271107775,124.19452157061417
3,5,30,50,17,10,rep3_k5_lambda30_mu50,,,81.33316002391346,4.40809669221948,0.30864957094548995,97.8528496209823
3,20,200,50,17,10,rep3_k20_lambda200_mu50,,,94.15539918970939,6.058847806615168,-0.12648407555866398,111.19962494935142
3,100,10000,50,17,10,rep3_k100_lambda10000_mu50,,,113.0212294150853,4.556428085014248,-0.0635728964676726,132.96945248108435
4,20,30,50,17,10,rep4_k20_lambda30_mu50,,,83.43959478699276,8.09392017343899,-0.5906926364659341,95.05155703388249
4,100,200,50,17,10,rep4_k100_lambda200_mu50,,,95.4481007970612,5.876807540431419,-0.152778438747692,116.16108985574851
5,20,30,50,17,10,rep5_k20_lambda30_mu50,,,80.41300178186724,10.384978157172965,-0.19900605612627897,106.17668273036615
5,100,200,50,17,10,rep5_k100_lambda200_mu50,,,93.61164482981816,6.342530636966757,-0.28825755638376466,110.36180395017855
6,20,200,50,17,10,rep6_k20_lambda200_mu50,,,93.54864265014167,5.84904465047146,-0.09147661838110119,111.06496811922852
6,100,10000,50,17,10,rep6_k100_lambda10000_mu50,,,114.02882440415254,4.794677094842785,-0.084194987159113,133.94208585384308
7,20,200,50,17,10,rep7_k20_lambda200_mu50,,,94.60258286886734,5.769801976219293,-0.5466677091991949,103.33309153197374
7,100,10000,50,17,10,rep7_k100_lambda10000_mu50,,,112.44914867729157,4.368915558587291,0.058056430281966255,139.17125838525314
8,20,10000,50,17,10,rep8_k20_lambda10000_mu50,,,113.19877004673509,3.096418608319907,-0.17329213284534373,121.22019015086963
9,3,50,50,17,10,rep9_k3_lambda50_mu50,,,94.36342307438882,7.959798144592351,-0.15524384573973354,105.39289596399465
9,20,10000,50,17,10,rep9_k20_lambda10000_mu50,,,114.1459866389074,3.7334522790658062,0.11323809707165423,131.1183139902537
10,5,30,50,17,10,rep10_k5_lambda30_mu50,,,83.98492601024181,6.132535889283793,-0.0036584491847347074,97.33450339781281
10,20,10000,50,17,10,rep10_k20_lambda10000_mu50,,,112.39175697420788,3.687420771109012,-0.11050087960500139,123.06748169204894
1,5,200,100,34,10,rep1_k5_lambda200_mu100,,,193.28752430240314,6.238751918763239,-0.2858425194744884,202.71814441708378
1,20,10000,100,34,10,rep1_k20_lambda10000_mu100,,,232.21729757137396,6.382837302532353,-0.06208723277113839,252.4400809740309
2,5,30,100,34,10,rep2_k5_lambda30_mu100,,,150.62314659557836,11.849403262222248,0.5218412452067808,225.19188325547276
2,20,10000,100,34,10,rep2_k20_lambda10000_mu100,,,230.16023123233788,12.039727327339124,-0.17744374429288248,261.1159947184215
3,10,50,100,34,10,rep3_k10_lambda50_mu100,,,167.76400027639826,7.470251394536992,0.6569784212373597,288.0030906528027
3,30,2000,100,34,10,rep3_k30_lambda2000_mu100,,,211.2459348664445,11.680319570341428,-0.18536762446127367,243.2918479999397
4,10,2000,100,34,10,rep4_k10_lambda2000_mu100,,,210.7823138999971,5.6199761770374,-0.052612704396864614,225.60646149807783
4,100,30,100,34,10,rep4_k100_lambda30_mu100,,,160.71572731714258,15.223371773777048,-0.20921519237424344,208.08576305461088
5,10,2000,100,34,10,rep5_k10_lambda2000_mu100,,,214.50324870425968,8.849770163681983,0.034608339548731847,241.54757427069046
5,100,30,100,34,10,rep5_k100_lambda30_mu100,,,164.73294650654202,14.812397600754025,-0.23923979151795186,207.94018463463587
6,20,30,100,34,10,rep6_k20_lambda30_mu100,,,166.68471956526375,14.737725097502071,-0.587632203450708,187.90786529114288
6,100,200,100,34,10,rep6_k100_lambda200_mu100,,,187.48032383521758,12.120965201362685,-0.21027919150968835,225.06663619116932
7,10,2000,100,34,10,rep7_k10_lambda2000_mu100,,,202.50925021162857,5.397495365706426,0.7875022852775857,366.42581145663274
7,100,30,100,34,10,rep7_k100_lambda30_mu100,,,163.92067824355348,16.440761190085077,-0.1240612696741544,225.91172846351546
8,10,2000,100,34,10,rep8_k10_lambda2000_mu100,,,207.6795361395653,3.716327291884019,0.43841840817938305,235.99846140858722
8,100,30,100,34,10,rep8_k100_lambda30_mu100,,,164.83661017852342,16.88750224627291,-0.29997764378234304,208.42686753976818
9,10,50,100,34,10,rep9_k10_lambda50_mu100,,,165.40154377856595,8.367742507429911,-0.05663582987949199,187.32030685104655
9,30,2000,100,34,10,rep9_k30_lambda2000_mu100,,,209.99338012914944,9.761794473239425,0.09701558806116321,258.5827874609435
10,20,30,100,34,10,rep10_k20_lambda30_mu100,,,159.65315078980174,12.82610658494771,0.12874867311011595,220.28259106324884
10,100,200,100,34,10,rep10_k100_lambda200_mu100,,,186.55795099701785,12.299801187455984,-0.10295834741598835,235.38603418858003
1,10,200,20,6.8,10,rep1_k10_lambda200_mu20,,,37.2122365483442,2.9773007569461334,-0.445707103506781,41.769679818608594
1,30,10000,20,6.8,10,rep1_k30_lambda10000_mu20,,,45.16128344540621,1.4905687131438927,-0.0019697615800064717,51.06005617289257
2,20,50,20,6.8,10,rep2_k20_lambda50_mu20,,,33.32685291046838,2.3073029606443898,0.012792391661162453,41.782300222328516
2,100,2000,20,6.8,10,rep2_k100_lambda2000_mu20,,,42.66000888328311,2.240059107433264,-0.10613628099742961,51.47027252508242
3,20,50,20,6.8,10,rep3_k20_lambda50_mu20,,,34.22013251240374,2.364767302274107,-0.34637346793446216,38.88991234178147
3,100,2000,20,6.8,10,rep3_k100_lambda2000_mu20,,,42.81688443072105,2.1013299162932446,-0.029344115311663893,52.88125309076592
4,30,200,20,6.8,10,rep4_k30_lambda200_mu20,,,38.84355179728125,2.1739559568698112,-0.0773408041004494,46.196354266542535
5,20,50,20,6.8,10,rep5_k20_lambda50_mu20,,,33.7036605390805,2.6347502057455596,0.015233706793038638,43.413146216601874
5,100,2000,20,6.8,10,rep5_k100_lambda2000_mu20,,,42.20441724879955,1.7365915334433595,-0.08327571960521485,49.43951077886372
6,20,50,20,6.8,10,rep6_k20_lambda50_mu20,,,33.69133146635817,2.348080197659497,-0.00562819459290236,41.99357752370749
6,100,2000,20,6.8,10,rep6_k100_lambda2000_mu20,,,42.09063492037746,1.7128378751481372,0.028457527703392077,51.702865231018826
7,20,50,20,6.8,10,rep7_k20_lambda50_mu20,,,33.82813572486913,3.0171981872125606,0.06583129712593594,46.198341396987445
7,100,2000,20,6.8,10,rep7_k100_lambda2000_mu20,,,42.40821980113979,1.8752451145543094,-0.06532490878711633,50.58616049473373
8,30,30,20,6.8,10,rep8_k30_lambda30_mu20,,,33.628871280398826,3.2080708063643684,-0.1862876748958039,42.426105404221836
9,10,30,20,6.8,10,rep9_k10_lambda30_mu20,,,31.451014990996466,2.3957487082780498,0.023234746413222988,38.63413208323178
9,30,200,20,6.8,10,rep9_k30_lambda200_mu20,,,37.60231024074972,2.0871731152048767,-0.049637013794877574,45.07980327085408
10,10,200,20,6.8,10,rep10_k10_lambda200_mu20,,,39.17962990524786,2.233398935156399,-0.3482535123684119,43.026320226191636
10,30,10000,20,6.8,10,rep10_k30_lambda10000_mu20,,,45.58363554059216,2.0853461523418666,-0.19698596666736748,51.201336076905626
1,10,200,50,17,10,rep1_k10_lambda200_mu50,,,94.56509965074694,7.377333067112822,-0.5066968129977975,105.10686432632237
1,30,10000,50,17,10,rep1_k30_lambda10000_mu50,,,114.52664007734566,4.309961729251424,-0.09191062074878781,128.6739322072902
2,10,10000,50,17,10,rep2_k10_lambda10000_mu50,,,111.82599824152588,4.355424503543779,0.0966365524826207,126.76472684792296
2,100,50,50,17,10,rep2_k100_lambda50_mu50,,,84.76848305749027,6.5158767739321695,-0.14427248101365753,108.2099190812946
3,20,2000,50,17,10,rep3_k20_lambda2000_mu50,,,105.94837055731014,3.8094847726436614,-0.1962301503157524,115.45245951957729
4,3,30,50,17,10,rep4_k3_lambda30_mu50,,,78.13267267108067,7.130958251104787,-0.9836200214220937,82.94113129833235
4,20,2000,50,17,10,rep4_k20_lambda2000_mu50,,,104.95846615250939,5.0117885397006905,-0.3730570061052652,114.47716012019012
5,10,30,50,17,10,rep5_k10_lambda30_mu50,,,81.94164117559922,7.800665071292905,-0.2540918233283087,97.17776551324884
5,30,200,50,17,10,rep5_k30_lambda200_mu50,,,93.81010288119528,5.730137288832021,-0.16661585850543076,110.10268831784865
6,10,10000,50,17,10,rep6_k10_lambda10000_mu50,,,115.50146500819002,3.1037946797176663,0.09117964761316162,126.0341910290688
6,100,50,50,17,10,rep6_k100_lambda50_mu50,,,84.21777981812002,7.359373670142881,-0.08802188394779038,114.52258036963406
7,20,50,50,17,10,rep7_k20_lambda50_mu50,,,82.11291832715767,5.800152295473055,-0.014061259238525166,102.22596406138204
7,100,2000,50,17,10,rep7_k100_lambda2000_mu50,,,105.9929780470882,5.135836312828321,-0.09437117376123966,126.81210035607128
8,30,30,50,17,10,rep8_k30_lambda30_mu50,,,80.45210074760085,9.35442126515,-0.24910100215087727,103.40263552634458
9,10,30,50,17,10,rep9_k10_lambda30_mu50,,,83.54617336935964,10.223972030247154,-0.38503876653764724,100.37906509100117
9,30,200,50,17,10,rep9_k30_lambda200_mu50,,,94.31407773087034,4.864140289472392,-0.1542548572984748,108.44787666809454
10,10,200,50,17,10,rep10_k10_lambda200_mu50,,,94.15239699031846,2.483352555638558,0.4379766277446515,112.96289742140392
10,30,10000,50,17,10,rep10_k30_lambda10000_mu50,,,113.419685739265,4.275379289337279,-0.05994184322736061,128.38678908778263
1,10,10000,100,34,10,rep1_k10_lambda10000_mu100,,,225.50653831054194,8.664768244992365,-0.1388793665699454,245.44357789278075
1,100,50,100,34,10,rep1_k100_lambda50_mu100,,,167.19587902047772,14.009385493290763,-0.11571164228511639,221.12870130957762
2,20,50,100,34,10,rep2_k20_lambda50_mu100,,,175.0239806839481,14.62048790489179,0.023195353728325242,229.70395129334085
2,100,2000,100,34,10,rep2_k100_lambda2000_mu100,,,212.0509773055676,8.670318313030242,-0.02581456968881958,254.01609914262022
3,20,2000,100,34,10,rep3_k20_lambda2000_mu100,,,211.59938167550294,11.750313135035142,-0.060980933199235164,248.86682514236574
4,3,10000,100,34,10,rep4_k3_lambda10000_mu100,,,226.5365449113956,8.727208554537263,0.34809672552301363,252.31199179664353
4,20,50,100,34,10,rep4_k20_lambda50_mu100,,,167.36956328625308,17.723518759401852,-0.16157679143132686,214.19114108744114
4,100,2000,100,34,10,rep4_k100_lambda2000_mu100,,,211.16082694117375,7.863671602080755,-0.026495856781210005,249.12247155328757
5,20,2000,100,34,10,rep5_k20_lambda2000_mu100,,,211.23326158014646,10.606347408167675,-0.12735973168465173,241.01072588408377
6,5,50,100,34,10,rep6_k5_lambda50_mu100,,,181.66508242876716,19.309013826753276,-0.9952919911186711,197.17534454844966
6,30,30,100,34,10,rep6_k30_lambda30_mu100,,,161.92613175064292,15.515765599632072,-0.08097096786424121,213.98324749281605
7,5,50,100,34,10,rep7_k5_lambda50_mu100,,,157.91971298071604,3.680674071922027,0.5341200515838642,181.8481691882612
7,30,30,100,34,10,rep7_k30_lambda30_mu100,,,161.2253994779746,13.47994831543302,0.09435032537304745,227.96098068435623
8,5,2000,100,34,10,rep8_k5_lambda2000_mu100,,,212.52988101349737,10.99767690293734,-0.003391140969828182,236.489347998521
