rep,k,n_lambda,mu,sigma,min_size,filename,maxima,maxvals,loc,scale,shape,gev_max
5,100,2000,50,17,10,rep5_k100_lambda2000_mu50,,,105.2888317535263,4.2398741259474155,-0.007466086946404174,126.80983345029338
6,30,30,50,17,10,rep6_k30_lambda30_mu50,,,79.31828832099697,7.260648743265093,0.07613528323946452,113.60064581909774
7,10,30,50,17,10,rep7_k10_lambda30_mu50,,,79.3220272815688,6.290004199126141,-0.09344175484495561,94.84202765140732
7,30,200,50,17,10,rep7_k30_lambda200_mu50,,,93.67669178039678,4.344598659031096,-0.024633935645739027,110.061519014365
8,10,10000,50,17,10,rep8_k10_lambda10000_mu50,,,111.36938519936979,4.421594906976011,-0.14122223638032677,121.5060587670257
8,100,50,50,17,10,rep8_k100_lambda50_mu50,,,84.40006729407585,7.089384493749607,-0.2086304788493169,106.4748176619615
9,20,50,50,17,10,rep9_k20_lambda50_mu50,,,89.23583248108189,7.234446157275559,-0.334880577133913,103.77968159646488
9,100,2000,50,17,10,rep9_k100_lambda2000_mu50,,,106.19019926770476,4.395958211693129,0.05510524289949058,132.88836235916028
10,20,2000,50,17,10,rep10_k20_lambda2000_mu50,,,104.44130496056331,3.7570669560962373,-0.017109780112494834,117.40514279765075
1,5,50,100,34,10,rep1_k5_lambda50_mu100,,,182.43213530750546,11.69789203396246,-0.22541157037143528,201.3695675839935
1,30,30,100,34,10,rep1_k30_lambda30_mu100,,,161.4702781857881,12.936638617748072,-0.3469282399024849,188.5570623994727
2,10,30,100,34,10,rep2_k10_lambda30_mu100,,,163.07824322923818,13.075984430029635,-0.40334172198643314,184.13906292970862
2,30,200,100,34,10,rep2_k30_lambda200_mu100,,,186.97750037751558,11.951774149722269,-0.30744395892835996,213.61100436783667
3,10,200,100,34,10,rep3_k10_lambda200_mu100,,,193.5485503404,13.63825893501671,-0.5332738571343854,212.46820355348981
3,30,10000,100,34,10,rep3_k30_lambda10000_mu100,,,229.13327836847782,7.982439222462043,-0.24537012508525632,248.85364147348938
4,10,30,100,34,10,rep4_k10_lambda30_mu100,,,172.81200441370095,18.969681476502856,-0.5793701434819527,197.86271926115077
4,30,200,100,34,10,rep4_k30_lambda200_mu100,,,192.3664863418369,13.05196721556685,-0.161163680286193,229.82227148986723
5,10,30,100,34,10,rep5_k10_lambda30_mu100,,,151.44408980712416,12.254866441298232,-0.2331317768891744,176.05638139976764
5,30,10000,100,34,10,rep5_k30_lambda10000_mu100,,,228.9164117496491,9.1763848835374,-0.12957770598159385,256.8925860452665
6,10,10000,100,34,10,rep6_k10_lambda10000_mu100,,,236.0372604656176,8.566159575335552,-0.3517072080474355,250.73312746578245
6,100,50,100,34,10,rep6_k100_lambda50_mu100,,,167.04919069242683,15.1880322468209,-0.06009892935571923,234.10128945658266
7,10,10000,100,34,10,rep7_k10_lambda10000_mu100,,,223.33894274428923,8.762415408896752,0.17502309248430262,258.4596250997021
7,100,50,100,34,10,rep7_k100_lambda50_mu100,,,169.70112380675133,13.597050176487983,-0.17217136235641448,215.56644982629146
8,10,10000,100,34,10,rep8_k10_lambda10000_mu100,,,237.74655133797123,9.732474327644276,-0.9828447266723535,246.63174675710988
8,100,50,100,34,10,rep8_k100_lambda50_mu100,,,167.39328362876435,14.99895528964737,-0.11160323751043813,225.7282278568859
9,10,10000,100,34,10,rep9_k10_lambda10000_mu100,,,228.52775259303482,11.382990161012595,-0.521863128756961,244.51759873013955
9,100,50,100,34,10,rep9_k100_lambda50_mu100,,,170.5407098075214,14.106596873736237,-0.049461526051541506,234.64202296667926
10,20,2000,100,34,10,rep10_k20_lambda2000_mu100,,,212.23138098963494,12.035969058154159,-0.3538678617746714,235.7451987908071
1,3,50,20,6.8,10,rep1_k3_lambda50_mu20,,,33.03906678232769,1.4625084286654348,0.21516778921863947,36.4018166061996
1,20,200,20,6.8,10,rep1_k20_lambda200_mu20,,,38.21018436416819,2.7203537915485088,-0.32141988051253384,43.7821060366341
1,100,10000,20,6.8,10,rep1_k100_lambda10000_mu20,,,45.549274414245964,1.7099516946508688,-0.09484921867555432,52.4685208082283
2,20,10000,20,6.8,10,rep2_k20_lambda10000_mu20,,,46.15081598054188,1.6328883215185201,-0.2407542518174482,49.938134032891966
3,10,50,20,6.8,10,rep3_k10_lambda50_mu20,,,34.14735539109511,3.532933870119898,-0.6234500428526245,38.60486827049322
3,30,2000,20,6.8,10,rep3_k30_lambda2000_mu20,,,42.25644402394171,1.9677773459740961,-0.1490160403592001,48.036700856949
4,10,50,20,6.8,10,rep4_k10_lambda50_mu20,,,33.214755025788456,1.872501924572761,0.12482015245728827,40.00173204464388
4,30,2000,20,6.8,10,rep4_k30_lambda2000_mu20,,,42.66398130770113,1.7496973600743195,-0.15150073081130405,47.77961116531148
5,10,50,20,6.8,10,rep5_k10_lambda50_mu20,,,34.0165411506907,1.274875677227827,-0.20712809232540288,36.663788499152595
