rep,k,n_lambda,mu,sigma,min_size,filename,maxima,maxvals,loc,scale,shape,loc_se,scale_se,shape_se
5,5,30,20,6.8,10,rep5_k5_lambda30_mu20,,,30.77153120421295,1.5941788814961655,-0.020471137844743012,0.9048316559144658,0.7101679345573859,0.5909012254207203
5,5,200,20,6.8,10,rep5_k5_lambda200_mu20,,,37.4079480743231,2.724232912044318,0.05851736078008396,1.518070405293618,1.1920444105828982,0.5540794902737609
5,5,10000,20,6.8,10,rep5_k5_lambda10000_mu20,,,NA,NA,NA,NA,NA,NA
5,10,50,20,6.8,10,rep5_k10_lambda50_mu20,,,34.0165411506907,1.274875677227827,-0.20712809232540288,0.45951509890202746,0.332383724887106,0.26156369470196117
5,10,2000,20,6.8,10,rep5_k10_lambda2000_mu20,,,44.607021624375854,2.5414545466516723,-1.1230431924908537,2.0000172962995256e-6,2.0000173103976826e-6,2.0000172062486417e-6
5,20,30,20,6.8,10,rep5_k20_lambda30_mu20,,,32.77724658964007,2.5690988524924516,-0.185733308852731,0.6489155111684134,0.46103085007173966,0.17399907366803313
5,20,200,20,6.8,10,rep5_k20_lambda200_mu20,,,37.55031607949249,2.0316489015890276,0.282867906986953,0.5615217848776258,0.47544530672835184,0.27602422276711636
5,20,10000,20,6.8,10,rep5_k20_lambda10000_mu20,,,45.91144642077623,2.48873903695885,-0.1665382538017505,0.6375235877653739,0.46343822561494247,0.19025162110598345
5,30,50,20,6.8,10,rep5_k30_lambda50_mu20,,,35.10135498646727,3.0111895489279594,-0.33804295818600255,0.6577837262537589,0.5286026063574641,0.20903129862141703
5,30,2000,20,6.8,10,rep5_k30_lambda2000_mu20,,,42.3548915603571,1.6567656491240437,-0.13644354612653412,0.3349778109262589,0.23177221562720257,0.11594091925013902
5,100,30,20,6.8,10,rep5_k100_lambda30_mu20,,,32.93584503996263,3.3764527122974424,-0.2546593811019415,0.37768081621422356,0.2695872645944324,0.07330184378720105
5,100,200,20,6.8,10,rep5_k100_lambda200_mu20,,,37.96240802291046,2.4526244939173742,-0.11591133911058653,0.2775001542251352,0.19896704228003578,0.07658873515311393
5,100,10000,20,6.8,10,rep5_k100_lambda10000_mu20,,,45.59364551486074,1.790160443968131,-0.2338119837102407,0.1993755963895594,0.14140101001731809,0.06970673854210568
6,3,50,20,6.8,10,rep6_k3_lambda50_mu20,,,NA,NA,NA,NA,NA,NA
6,3,2000,20,6.8,10,rep6_k3_lambda2000_mu20,,,NA,NA,NA,NA,NA,NA
6,5,30,20,6.8,10,rep6_k5_lambda30_mu20,,,33.04243599997224,2.1783182997672736,0.0022380256758090383,1.2943420495937752,1.041290976275982,0.675634597380571
6,5,200,20,6.8,10,rep6_k5_lambda200_mu20,,,39.06450228649424,3.3122150181193626,-1.1850933875503362,2.0000081244210382e-06,2.0000081499644653e-6,2.0000079841371457e-6
6,5,10000,20,6.8,10,rep6_k5_lambda10000_mu20,,,NA,NA,NA,NA,NA,NA
6,10,50,20,6.8,10,rep6_k10_lambda50_mu20,,,35.877449661985025,3.1439153257340267,-0.12137798245087804,1.100450685967559,0.7573213019370937,0.20136656063352545
6,10,2000,20,6.8,10,rep6_k10_lambda2000_mu20,,,43.147079543019224,1.2893165797485886,-0.09685031806058102,0.4690267941704653,0.3412347559167219,0.27208965665993146
6,20,30,20,6.8,10,rep6_k20_lambda30_mu20,,,32.5968039049279,3.6301360986111213,-0.1576142105245491,0.9778137545515991,0.7427663956250632,0.2487323381869501
6,20,200,20,6.8,10,rep6_k20_lambda200_mu20,,,38.421605576328155,2.976416567347532,-0.4583344940096774,0.7678963022721191,0.6226402507714188,0.2287451997105856
6,20,10000,20,6.8,10,rep6_k20_lambda10000_mu20,,,45.25882845362307,1.0904803783902857,0.31138671532934703,0.28253527422085534,0.2403509622773591,0.21723301628490316
6,30,50,20,6.8,10,rep6_k30_lambda50_mu20,,,34.49733291392832,3.2615906918010067,-0.2912250720590795,0.6645715944725991,0.47576274657310147,0.13309310746524106
6,30,2000,20,6.8,10,rep6_k30_lambda2000_mu20,,,42.822798874773696,2.3317400223137,-0.19642318945977194,0.47339134241233316,0.3313457447030194,0.1227608942078412
6,100,30,20,6.8,10,rep6_k100_lambda30_mu20,,,32.891373690906065,3.276494109529949,-0.2912550373485092,0.3651013649656665,0.26348486375421465,0.07248454215816853
6,100,200,20,6.8,10,rep6_k100_lambda200_mu20,,,37.88861824277419,2.4005022306032,-0.19201631787329573,0.26421254856525905,0.18267817276379839,0.05958924621016452
6,100,10000,20,6.8,10,rep6_k100_lambda10000_mu20,,,45.45044537620355,1.88301811097623,-0.09525121567398169,0.2086085769246722,0.14576563699072811,0.06421817087425094
