filename,k,loc,scale,shape,gev_max
rep1_k3_lambda30_mu50,3,81.47993482862465,3.5378408187584705,0.3508748680338244,86.22206201150325
rep1_k3_lambda50_mu50,3,82.62125479951881,0.029497864022134807,1.8610074960983882,82.72785710672294
rep1_k3_lambda200_mu50,3,95.88145951150243,8.117711728250406,0.014854359149988153,104.87284384379143
rep1_k3_lambda2000_mu100,3,222.6328738562596,6.331832487218475,-0.9509728815785854,226.94889926180235
rep1_k3_lambda10000_mu50,3,113.3625905815608,4.922193002025138,-1.3755283382627372,116.15141386763887
rep1_k5_lambda30_mu100,5,155.25605090735414,12.255307828147917,-0.14219704126079263,172.88596006591828
rep1_k5_lambda50_mu50,5,84.55009094136136,6.362084638254089,0.042722984914601615,95.14971015998808
rep1_k5_lambda200_mu20,5,37.15485791630876,1.7688295386316708,0.5627485601060421,41.78693948900781
rep1_k5_lambda200_mu50,5,96.24469279329014,7.395484908638699,-0.0964103374056875,107.2697920854135
rep1_k5_lambda200_mu100,5,194.32287240872756,11.738111325924752,0.5982456855953673,226.0914903116923
rep1_k5_lambda2000_mu20,5,45.010404808078455,1.7534129175018143,-1.1404280937477822,46.302612498861684
rep1_k5_lambda2000_mu50,5,110.3559510630656,2.249448531305514,0.6543365733000577,116.77273983199478
rep1_k5_lambda2000_mu100,5,227.54006500093763,12.314682020664778,-0.4852369476939253,241.29616374891413
rep1_k5_lambda10000_mu50,5,111.30018222056617,5.001188484169283,0.05415124506855812,119.71045219813314
rep1_k10_lambda30_mu20,10,33.80408496729832,2.6577062986349023,-0.30620182819438735,38.195254232746855
rep1_k10_lambda30_mu50,10,89.25264207776283,4.95640943285311,-1.1618875705834009,93.22462430999764
rep1_k10_lambda30_mu100,10,152.3297107358447,17.97968150235432,-0.055434378474079865,191.19619680123134
rep1_k10_lambda50_mu20,10,31.891666667647254,2.7693587425491852,0.012189226297882851,38.35868026791582
rep1_k10_lambda50_mu50,10,85.45609567544817,7.3944849504800105,-0.3711104354608539,96.90337293820023
rep1_k10_lambda50_mu100,10,169.3920221573178,9.309850171371213,0.34783063291427607,202.2484095963674
rep1_k10_lambda200_mu20,10,37.384588048447895,2.56686791009256,-0.49662652925827144,40.90599334940337
rep1_k10_lambda200_mu50,10,92.929087450336,6.607241709096417,-0.18135477831221739,105.36590834121185
rep1_k10_lambda200_mu100,10,183.74656220758519,9.805181662641186,0.007520505725089558,206.52044137839175
rep1_k10_lambda2000_mu20,10,43.676621728227545,1.8684184355391944,-0.05019326228868852,47.7395100495597
rep1_k10_lambda2000_mu50,10,106.2391502108188,3.980638002051605,-0.09307785270787662,114.48927111607797
rep1_k10_lambda2000_mu100,10,216.62777510521315,8.40684918039367,-0.19286528407630807,232.25850206784997
rep1_k10_lambda10000_mu20,10,46.58456337054664,3.3930081911977106,-0.3278177170444043,52.069270913962114
rep1_k10_lambda10000_mu50,10,114.45970071479152,5.217238505485984,-0.6129977303462684,120.89588736970781
rep1_k10_lambda10000_mu100,10,231.5320771689228,10.730142000002507,-0.367815855810178,248.19749618467478
rep1_k20_lambda30_mu20,20,33.48231252996738,2.7025377265280857,-0.26218805603534595,39.09052268380994
rep1_k20_lambda30_mu50,20,81.34259831376887,6.269560226696962,0.058657642336316845,101.87578581647982
rep1_k20_lambda30_mu100,20,161.0765679656282,11.48174663251164,-0.08711530968309114,191.35078286461751
rep1_k20_lambda50_mu20,20,35.10628703791005,2.914657147896703,-0.023871797086306396,43.53291950515506
rep1_k20_lambda50_mu50,20,84.03097504170053,5.223674577256134,0.07925089784342418,101.69348829933186
rep1_k20_lambda50_mu100,20,172.62401592786668,6.489263993026185,0.3235630622454418,205.43745705782905
rep1_k20_lambda200_mu20,20,38.15637256921935,2.118829660314038,-0.6053938283432765,41.08557280706236
rep1_k20_lambda200_mu50,20,91.74336315272097,5.465202168635552,-0.010338100844041371,107.86471649576454
rep1_k20_lambda200_mu100,20,189.27831685153959,7.474083742478522,0.15047557201529077,217.56737673261864
rep1_k20_lambda2000_mu20,20,42.32400076659292,1.3946496328021032,0.005849463091750131,46.53881885368672
rep1_k20_lambda2000_mu50,20,108.64247861951542,3.6748483572732695,-0.2522226379568929,116.36839877888889
rep1_k20_lambda2000_mu100,20,211.58481408448483,8.610844053054892,-0.06759397731444355,234.93657081552118
rep1_k20_lambda10000_mu20,20,45.87616282521927,1.2691742102896342,0.03686868054604521,49.896186314695214
rep1_k20_lambda10000_mu50,20,114.11431368904967,3.7725216021106167,-0.40639921399150253,120.64958835447695
rep1_k20_lambda10000_mu100,20,224.44347216405532,8.160165054709283,-0.16453002013288862,243.7435894541798
rep1_k30_lambda30_mu20,30,32.45566238888919,2.738548956417096,-0.06448898833836755,40.819268034552344
rep1_k30_lambda30_mu50,30,81.21956156110944,8.423761040136402,-0.1854019677670992,102.4705512290533
rep1_k30_lambda30_mu100,30,160.72028382002512,13.583228485430444,-0.17040755520243256,195.78258023159233
rep1_k30_lambda50_mu20,30,33.73072222334914,2.9878097243754267,-0.36725235762886627,39.53331320446419
rep1_k30_lambda50_mu50,30,85.18883473761858,6.9280918567490835,-0.1793735807101032,102.82814870578368
rep1_k30_lambda50_mu100,30,170.10076799747162,10.16226145477073,0.0296053443122281,206.46471377587756
rep1_k30_lambda200_mu20,30,37.55718990226515,2.5409544640582897,-0.13689838082830763,44.46653741856446
rep1_k30_lambda200_mu50,30,94.42620941657715,5.881626302834244,-0.19733370348122214,108.99781841500133
rep1_k30_lambda200_mu100,30,185.29555288739587,9.571555248436553,0.07940381639790313,222.67026983746777
rep1_k30_lambda2000_mu20,30,42.41715657193778,1.6362224742735765,0.12037043264454876,49.2942330573514
rep1_k30_lambda2000_mu50,30,106.92221982672837,5.653749600476522,-0.0760995170154001,123.86465748807444
rep1_k30_lambda2000_mu100,30,211.38997123964646,9.111021465047571,0.09448558953460869,247.93677979642212
rep1_k30_lambda10000_mu20,30,46.19733366239207,1.206288374774888,0.020207569608548876,50.444438393203754
rep1_k30_lambda10000_mu50,30,112.82591473432336,3.735621604784423,-0.1844337199409785,122.26384227887021
rep1_k30_lambda10000_mu100,30,226.15756528049025,8.724463390789358,-0.37530199031818845,242.91786584456685
rep1_k100_lambda30_mu20,100,32.31702862089888,3.2682251677985397,-0.13551856367921183,43.513064789439355
rep1_k100_lambda30_mu50,100,81.21834816559388,7.691916935615426,-0.22260482430841652,103.37623109543328
rep1_k100_lambda30_mu100,100,161.57269868890896,16.63488424802947,-0.22216107696404033,209.53309454041715
rep1_k100_lambda50_mu20,100,34.68884622855961,3.1130321715779505,-0.0921554560704949,46.37114007538635
rep1_k100_lambda50_mu50,100,84.58446394693001,6.905537471110394,-0.12979692552792693,108.52271798036986
rep1_k100_lambda50_mu100,100,173.0148848332311,14.725140145831901,-0.15130691677183272,221.85185834271422
rep1_k100_lambda200_mu20,100,37.679093739705166,2.546297583012353,-0.12196658065832269,46.65094664971277
rep1_k100_lambda200_mu50,100,93.73762783286959,6.162336485654568,-0.11123464554562845,115.9448622843413
rep1_k100_lambda200_mu100,100,189.6801918542804,13.142844191570743,-0.18574567940842848,230.35729157960276
rep1_k100_lambda2000_mu20,100,42.76504588972664,1.8872772428532374,-0.13118499042962944,49.28854813464533
rep1_k100_lambda2000_mu50,100,106.50583211252678,4.839277997347146,-0.06193820260024245,125.89500604034417
