ns,ss,rep,loc,scale,shape
10,10,1,73.1896439306858,8.43033964968732,-0.12842350417845375
10,10,7,69.27312098814821,6.813262348914767,-0.482953537431141
10,20,3,79.81468746489585,7.973611766183886,-0.035205117699618545
10,20,9,78.4469812719079,12.973851119015512,-1.017742216890333
10,50,5,85.66502212427412,5.174485650091598,-0.25739145647183936
10,100,1,85.0344590431209,5.823886573883988,0.0494228413590361
10,100,7,92.49871153316114,7.157734726396533,-0.6894025875413271
10,200,3,92.6676578691481,4.3466164158390015,-0.5350947445287659
10,200,9,96.82084473038837,6.350264274434479,-0.17789103085877028
10,500,5,0,0,0
10,1000,1,104.33258677804123,5.372562102201648,-1.0764265749845816
10,1000,7,100.95055238317843,3.8447420973173934,0.01264593746499717
10,2000,3,109.09173558172337,5.183101816012563,-0.8112502502707898
10,2000,9,106.6243811717185,6.026978549028982,-1.002467235173268
10,5000,5,108.39381002904909,2.9648369845710403,-0.040836037553600726
10,10000,1,110.99230272298932,3.41930986084357,0.366817159016522
10,10000,7,113.98295298723245,5.082849282124053,-0.5485211228564248
20,10,3,70.93883221666484,7.929938455987163,-0.3336876587317315
20,10,9,70.78359049117005,8.402006982285753,-0.2949602918043407
20,20,5,76.08366840955233,7.184594336215583,-0.02265534463066538
20,50,1,85.29345361017391,5.6898901013141545,-0.16659817507098246
20,50,7,84.46584708832258,6.489420614121046,-0.2432995799237602
20,100,3,90.22872970087104,4.669749555205023,0.04336511027040382
20,100,9,91.17915337812536,5.62879604230197,-0.6064687615762856
20,200,5,92.68635544516545,6.45248266744591,-0.1116509009295388
20,500,1,98.97656044124962,5.9872028575277305,-0.261629182023513
20,500,7,99.47711321351767,6.137623529072514,-0.48471347948952836
20,1000,3,100.72211265567563,3.41788470838666,-0.6169448374730214
20,1000,9,100.80953945675103,3.666114777169853,-0.09892523566031777
20,2000,5,106.70179413323456,4.779687646722266,-0.5458282842298183
20,5000,1,109.24498553757837,3.912599972288577,-0.019255663729375195
20,5000,7,109.07598750950082,4.546443424261574,-0.02813313986653859
20,10000,3,110.86437505586596,3.73901500329227,-0.03855467352747155
20,10000,9,111.33204496095155,3.4801690102768132,0.19248686189897776
50,10,5,72.88882999719809,8.98513451021552,-0.33173964030360314
50,20,1,78.2479332187007,6.437367200290886,-0.082120711711837
50,20,7,78.12608648387332,5.905079491689585,-0.06733306987592394
50,50,3,85.93035924060915,6.474099464009093,-0.2863605908065792
50,50,9,84.39957435256538,6.1017772482670685,-0.21499008555377133
50,100,5,86.97926415494977,5.909775510378934,0.019637008573468305
50,200,1,91.48250107411921,5.33049506095637,-0.15436687496837198
50,200,7,92.23203890219659,6.008119056795219,-0.21896288788336152
50,500,3,97.83696383377479,4.385473422621299,0.04608144217050266
50,500,9,99.20041398011944,5.684480576377466,-0.23097659091756825
50,1000,5,101.14355252412868,5.530577033927781,0.022463193660866323
50,2000,1,104.4448079393011,4.061061213184648,-0.2627377048375936
50,2000,7,104.68163980588699,4.405962093400897,-0.05545280086237422
50,5000,3,110.42471511120414,5.014638652436541,-0.10541109775500812
50,5000,9,110.93484834189415,5.294425940060107,-0.20675201604743693
50,10000,5,111.60093322774499,4.670159830590345,-0.12620276754277404
100,10,1,70.64805044482345,7.991785133708404,-0.16037725695763091
100,10,7,71.32263670465234,8.282975819293084,-0.12528615580544042
100,20,3,78.85593270290413,8.718894097863574,-0.15916878788560046
100,20,9,78.39243197140539,7.921620964998318,-0.213762837839747
100,50,5,85.35131945360469,7.459272998813818,-0.24127111524857645
100,100,1,90.35134184350309,6.109327373292305,-0.25157931494907776
100,100,7,88.56033394373337,5.893683361227901,0.0066460730601491025
100,200,3,92.21184543804056,5.648388430682793,-0.12176269966986991
100,200,9,93.65737888955546,5.397319307089091,-0.09148281340098881
100,500,5,98.30544143428942,5.428819641769456,-0.15576781368970516
100,1000,1,100.9597864326376,4.572730170366537,0.026286693283061123
100,1000,7,102.55023790523977,4.819278240355007,-0.11396182029621493
100,2000,3,105.06572282901566,4.790246239100289,-0.05143747627397842
100,2000,9,104.47914946570783,3.972682038937296,0.02257455027382717
100,5000,5,108.67049300115016,4.282636761810386,-0.16318212548232094
100,10000,1,112.0451310544201,4.2257469668346115,-0.049553254589061624
100,10000,7,110.94370085284724,4.119202221581018,0.03689373552680187
200,10,3,71.64284234304891,10.329024479329515,-0.20365568778742804
200,10,9,71.1450263366219,8.694904000550874,-0.2047276205769163
200,20,5,77.25151838617325,7.572176023481367,-0.07512276119289137
200,50,1,84.83516649668788,6.494118550800796,-0.12853342222916503
200,50,7,84.17411230127092,7.00369483507154,-0.17959659599367372
200,100,3,89.59855933544762,6.60870668382966,-0.08812543477652751
